"ID","Population","Sex","Xalarl","Yalarl","Zalarl","Xalarr","Yalarr","Zalarr","Xastl","Yastl","Zastl","Xastr","Yastr","Zastr","Xaubl","Yaubl","Zaubl","Xaubr","Yaubr","Zaubr","Xbas","Ybas","Zbas","Xbrg","Ybrg","Zbrg","Xdacl","Ydacl","Zdacl","Xdacr","Ydacr","Zdacr","Xectl","Yectl","Zectl","Xectr","Yectr","Zectr","Xeurl","Yeurl","Zeurl","Xeurr","Yeurr","Zeurr","Xfmal","Yfmal","Zfmal","Xfmar","Yfmar","Zfmar","Xfmtl","Yfmtl","Zfmtl","Xfmtr","Yfmtr","Zfmtr","Xglb","Yglb","Zglb","Xlam","Ylam","Zlam","Xnas","Ynas","Znas","Xnlhil","Ynlhil","Znlhil","Xnlhir","Ynlhir","Znlhir","Xobhi","Yobhi","Zobhi","Xobhs","Yobhs","Zobhs","Xops","Yops","Zops","Xporl","Yporl","Zporl","Xporr","Yporr","Zporr","Xstpl","Ystpl","Zstpl","Xstpr","Ystpr","Zstpr","Xwfbl","Ywfbl","Zwfbl","Xwfbr","Ywfbr","Zwfbr","Xwmhi","Ywmhi","Zwmhi","Xwmhs","Ywmhs","Zwmhs","Xxfbl","Yxfbl","Zxfbl","Xxfbr","Yxfbr","Zxfbr","Xzygool","Yzygool","Zzygool","Xzygoor","Yzygoor","Zzygoor"
"JU001","Japanese","Male","-242.0041","174.7108","90.6716","-244.5762","202.8693","86.6115","-93.5669","148.2266","134.6517","-94.6924","261.3585","123.4614","-152.5611","133.547","119.1571","-163.5844","264.3939","100.9199","-147.5172","197.1429","88.4037","-180.753","209.2134","228","-236.0468","182.365","123.8275","-237.0828","205.7466","119.9733","-226.0889","140.8354","123.8716","-234.798","247.1534","109.7475","-133.6497","137.0955","174.4919","-146.9402","280.6912","156.4078","-227.3862","143.2129","137.0218","-234.2971","247.7715","122.0262","-224.6123","141.3453","141.4488","-232.3439","250.5326","128.6008","-251.3503","194.8096","144.1293","-63.3848","215.9985","179.7288","-246.3278","193.8916","132.1612","-243.1593","181.2841","78.7559","-243.605","193.2443","77.9254","-236.6859","161.5511","108.4888","-237.6327","157.783","145.4345","-108.5881","200.2825","88.6165","-143.8804","137.5985","115.4244","-155.5088","262.7093","100.0355","-182.595","153.5715","206.8743","-199.0484","263.5815","185.3326","-225.6779","149.3047","158.5914","-233.9885","247.1241","145.7626","-219.7089","141.1016","86.4749","-233.7209","146.4704","112.0988","-189.5829","143.648","181.1236","-197.6416","266.3786","168.5532","-236.78","161.0363","108.2882","-242.2781","223.8987","99.6697"
"JU002","Japanese","Female","-240.4122","183.4449","96.907","-239.884","210.0249","93.7437","-111.9743","147.0902","124.8619","-109.8152","256.0947","110.5116","-165.7633","136.784","117.8625","-167.5018","263.9556","99.2908","-154.1763","197.8867","89.1456","-164.2166","214.7165","220.8731","-230.6146","189.5608","127.54","-231.8929","212.7616","124.0571","-224.4196","151.7873","127.3045","-223.9377","248.7784","113.961","-146.4305","134.7881","157.0238","-151.6273","278.2884","139.6174","-223.5034","155.0535","138.6985","-222.4601","249.3983","124.0804","-221.9893","153.1002","143.9692","-220.651","253.2834","127.5305","-240.1236","205.056","147.0334","-68.518","212.8603","168.5075","-237.8051","202.9151","133.6735","-239.2462","188.2021","87.4974","-239.5271","201.8249","86.4592","-234.1538","170.3418","113.8523","-231.0988","168.9225","146.5145","-119.1603","198.7192","86.1813","-155.6337","140.1127","114.4305","-154.9619","259.8437","96.6345","-190.9395","154.701","187.2642","-191.2806","267.1707","167.2957","-222.4368","159.4558","156.7004","-221.6267","250.9683","143.6541","-224.7726","153.7256","93.5492","-232.5005","157.6987","115.9208","-195.0581","152.549","177.4807","-194.2876","265.7941","162.3907","-233.8843","171.9379","113.3144","-234.8468","226.5576","106.0599"
"JU003","Japanese","Female","-238.9001","183.5012","92.4122","-240.0871","208.6171","89.9785","-110.7213","157.6113","127.1751","-114.6558","257.0565","112.675","-163.4847","142.7542","120.2254","-171.533","262.547","102.4086","-154.6356","200.1424","87.0722","-183.4766","219.4344","212.3018","-235.9387","186.6037","120.5063","-236.7665","211.4436","116.8024","-225.642","152.3519","122.1515","-231.9281","246.093","107.37","-166.3603","139.8515","157.5732","-171.4956","278.3403","136.6403","-228.9875","154.1258","135.0409","-234.2372","247.1409","120.702","-224.856","151.1053","137.3401","-231.7956","251.8595","122.8289","-247.6105","201.3497","140.5864","-86.542","217.6948","170.28","-243.4675","199.4201","127.7416","-238.9718","189.3815","82.4777","-239.8962","200.9632","81.0678","-233.54","170.4336","106.9741","-236.7632","166.6958","140.8539","-119.9292","200.7431","85.5598","-152.2661","146.1582","116.9616","-158.9231","260.9262","101.4031","-195.5786","152.1416","180.0459","-206.1776","266.4788","160.1814","-227.8823","157.0139","150.7133","-232.4337","249.8557","136.8205","-217.3148","155.1634","92.3598","-231.1945","158.7486","110.041","-202.4461","150.3074","167.1554","-209.6367","264.9158","152.093","-233.456","169.0528","106.8832","-237.4526","223.2641","99.5659"
"JU004","Japanese","Female","-234.1888","192.6116","87.5758","-233.6217","216.9816","83.576","-104.0005","157.2038","126.0714","-104.6128","261.2871","114.6468","-159.4817","148.6546","121.3698","-158.1378","265.8262","104.1021","-150.1351","205.9695","94.6132","-176.3651","219.5696","218.3835","-230.8264","198.474","120.9107","-231.4393","222.1387","117.8318","-222.971","162.1046","123.6603","-223.6371","257.0369","109.0892","-153.4553","146.64","167.7049","-148.14","280.3973","153.6779","-222.9525","163.8853","135.3886","-223.0626","258.4177","119.9101","-220.5959","160.5057","140.4963","-221.5904","262.8275","124.4009","-242.6545","212.2644","143.7385","-78.0698","217.1892","172.9362","-237.9677","211.8558","130.2085","-235.7211","198.2317","79.5652","-235.0953","210.2609","77.8705","-231.3838","178.5165","107.8421","-231.5656","178.4966","142.1323","-119.1684","204.4839","86.3867","-149.9564","153.2395","115.8249","-148.5636","263.2648","102.7341","-192.531","162.6988","187.8016","-190.5464","272.7368","174.6497","-222.4537","166.3497","156.0279","-224.8954","260.6891","140.0596","-218.0441","163.2344","86.8761","-229.7035","169.3418","110.0391","-198.2618","160.2442","173.8792","-198.9822","271.9874","163.1854","-231.6628","179.5255","107.4866","-233.1565","235.1387","99.5284"
"JU005","Japanese","Male","-246.7748","166.5864","89.0107","-247.1206","193.9165","86.045","-109.1602","128.6378","123.3425","-107.8255","238.9029","110.2264","-167.2464","117.2111","119.5836","-166.112","249.4682","102.6061","-159.0295","180.6054","87.3952","-182.3233","194.6839","229.09","-238.6536","173.124","124.3882","-239.5963","193.5241","121.2676","-233.2378","133.6997","122.6833","-232.136","233.4894","111.3343","-163.999","115.6421","162.3726","-154.797","262.2369","150.5694","-234.0195","135.6562","133.9531","-233.2813","234.3526","122.2696","-231.1982","132.3436","138.8626","-229.874","238.242","127.0069","-251.1906","186.1761","143.0634","-84.0391","193.3003","177.5282","-247.5535","184.5486","130.6064","-246.0733","172.6614","76.606","-246.2282","184.7105","75.3741","-239.7597","153.091","107.8328","-243.4367","151.5995","143.1092","-118.6439","180.3909","86.0896","-158.3442","119.2228","117.4278","-156.2814","246.2557","100.2028","-203.6323","136.8272","191.109","-200.9887","248.9242","178.2264","-232.7837","145.2189","159.738","-233.0553","230.5209","147.6397","-227.8389","132.3139","87.332","-237.1161","139.9165","110.554","-201.8737","130.7908","179.4956","-204.4564","249.0056","168.6817","-239.795","155.9939","107.8328","-240.886","207.5657","102.2754"
"JU006","Japanese","Female","-234.4943","170.167","87.9937","-232.8536","194.0755","85.4088","-104.5548","129.0685","130.5552","-105.7127","237.291","110.6542","-162.762","122.4016","119.6948","-160.243","241.757","99.3124","-153.9142","178.1023","91.128","-169.9186","199.2885","221.1561","-233.2336","174.9442","120.1023","-233.0464","195.454","117.8972","-227.6716","137.7462","118.8222","-223.8691","232.0699","105.5221","-141.6421","119.4091","180.9415","-133.7356","263.3562","157.1758","-229.984","140.9943","133.2432","-225.587","233.0142","119.195","-227.6713","138.5112","136.0444","-223.6998","235.6235","122.4381","-242.8564","189.0922","139.2905","-64.2016","190.6185","171.4083","-239.2749","186.9411","126.0261","-234.1466","176.2092","80.0999","-233.0589","187.2164","79.3171","-233.7633","158.5712","103.7895","-236.0628","154.4493","140.2975","-118.331","175.6532","88.6999","-154.8295","125.8859","116.3566","-151.3754","238.5678","97.9145","-189.6293","138.4387","196.2587","-187.3758","252.1101","176.4169","-229.8698","144.8499","148.666","-226.7327","233.8913","135.4645","-222.0824","140.3586","87.0129","-233.1205","145.5693","106.3642","-194.0103","130.1904","176.1831","-190.9714","253.5628","159.2915","-233.2125","156.4427","103.4026","-231.4447","211.5041","95.6707"
"JU007","Japanese","Male","-241.0043","174.5035","91.4792","-239.5688","200.9406","89.1566","-112.138","124.6966","128.563","-104.9056","236.913","111.3451","-171.5064","120.3083","121.2036","-163.4948","247.8813","102.0915","-152.9081","176.5558","84.3634","-179.6081","197.448","227.2856","-237.5722","180.6025","126.7903","-235.8943","201.9852","123.5663","-233.8644","140.1276","124.3037","-225.9601","239.515","110.664","-150.6877","115.8166","174.0715","-140.252","261.0334","164.003","-235.7584","142.7339","136.0666","-227.5219","240.6609","122.6823","-234.148","139.8074","140.4031","-225.4862","244.0478","126.6478","-249.4126","194.611","147.091","-72.3637","185.8642","176.2647","-245.4905","193.5945","136.7304","-242.857","182.5624","81.5235","-240.9942","192.0665","80.2481","-237.6039","161.4708","109.5094","-244.0704","157.1192","144.5932","-116.4895","177.433","85.4705","-159.9123","121.6445","119.4134","-152.6885","242.9998","99.6883","-203.1596","136.7493","191.1562","-192.8842","252.6745","170.8553","-235.9015","146.4709","155.5168","-226.6386","241.6336","143.7025","-226.5085","140.6891","93.3375","-237.0205","146.8118","111.5661","-206.9858","131.8748","174.8692","-193.0224","253.3486","163.3038","-238.0884","159.6999","108.8886","-234.093","216.6435","101.3829"
"JU008","Japanese","Male","-240.5691","168.3468","93.368","-242.017","194.2133","88.4262","-98.1384","138.3924","124.5257","-105.7655","246.0533","103.1504","-161.3992","125.4969","115.6766","-166.8228","248.4596","93.8271","-149.6534","182.6741","77.1236","-170.9585","205.0458","219.0533","-233.3502","176.3297","126.3533","-234.8916","197.0045","122.5624","-223.5845","138.6557","128.4165","-228.6231","232.9782","109.9884","-139.067","127.3615","166.7409","-147.6641","267.2847","148.8081","-226.7854","141.6197","140.3821","-232.0394","234.0732","122.4996","-226.836","139.427","145.5934","-232.3421","237.5251","127.0531","-246.2741","188.9654","142.612","-74.8752","202.6311","165.4537","-242.6644","187.7073","134.5583","-246.3883","174.7626","78.9147","-245.7513","184.4229","77.0838","-233.5867","156.2384","112.1133","-235.2722","155.982","147.3318","-111.7017","184.2959","81.9124","-147.6589","127.8381","114.4853","-155.2374","246.1324","93.2719","-185.0579","145.2876","196.9065","-195.7447","253.9279","170.8971","-226.0208","149.6281","162.8421","-231.014","235.4091","146.8981","-220.6148","138.8843","94.5262","-229.5731","144.6118","115.5263","-196.3497","138.2797","167.8434","-200.4633","252.6398","154.0455","-234.253","162.081","112.5944","-238.1278","206.2489","103.3436"
"JU009","Japanese","Female","-230.1066","165.137","91.989","-229.7425","189.773","88.7698","-105.1712","136.0208","132.0063","-107.6256","235.6206","112.2547","-160.0482","126.8779","119.4735","-162.9515","238.942","98.9888","-148.0694","179.6202","90.5584","-173.4591","198.9307","214.6033","-221.7161","173.0508","121.6251","-222.8058","193.6943","119.2724","-214.6798","137.2647","125.2186","-216.7108","229.2388","109.0558","-138.3805","126.8469","164.6857","-139.8764","257.4492","142.8593","-214.3825","140.7267","136.4429","-216.4469","230.5781","119.1107","-210.2506","138.4935","140.0813","-212.2468","234.0602","121.8557","-231.6875","188.1256","139.4941","-78.5309","196.9684","174.8582","-230.1179","184.1597","126.2328","-231.549","171.9435","84.0691","-231.391","180.2401","83.0396","-223.8486","152.3155","109.4032","-222.5686","154.1734","140.5471","-114.335","179.3215","85.5091","-147.3194","128.7802","118.6862","-148.8412","237.7857","98.0404","-184.8804","144.4815","184.5939","-188.7904","246.8421","162.6881","-211.7402","145.8125","153.6272","-213.3896","232.6833","136.3693","-211.0988","138.3468","93.1183","-221.1955","143.085","111.775","-186.9155","139.229","170.5596","-190.6522","245.7469","153.6999","-224.7713","158.5138","109.3877","-226.5132","204.445","102.3831"
"JU010","Japanese","Male","-234.1434","161.8271","92.8131","-237.8555","187.3126","89.2204","-102.0683","143.2861","126.278","-115.7212","244.9347","105.2025","-156.0554","131.9569","120.5209","-172.8872","244.1827","99.6471","-155.6367","186.2883","91.46","-179.2154","208.4265","217.5594","-229.5347","171.3979","122.1581","-231.9656","190.2977","118.2094","-220.1525","137.3525","122.363","-231.6253","225.7523","106.5685","-150.6542","129.3484","162.7648","-165.9919","264.5823","140.4671","-224.8378","140.1118","135.8627","-234.6454","227.7673","117.4268","-221.6897","137.6322","139.2732","-231.6895","231.7491","120.8158","-240.9583","182.9109","135.8676","-73.889","210.9877","173.9911","-238.6696","182.2191","130.846","-235.929","168.1024","82.8198","-236.9456","178.1065","81.2828","-228.0947","155.4363","107.991","-233.2806","149.9736","141.417","-119.0933","190.2365","88.4316","-150.4985","134.1289","119.4032","-163.6953","241.9979","97.9202","-180.9827","138.7825","188.8707","-199.7031","258.2269","159.8721","-221.6104","140.7516","148.1191","-233.0921","231.3299","130.3434","-210.6771","140.5112","94.9447","-224.1869","143.2717","111.8284","-187.9527","134.8539","176.1473","-198.7668","258.796","156.5334","-227.6379","153.748","107.9326","-233.8791","203.09","99.0951"
