"","ID","Population","Sex"
"1","CU002","Korean","Female"
"2","CU003","Korean","Male"
"3","CU004","Korean","Male"
"4","CU005","Korean","Male"
"5","CU006","Korean","Male"
"6","CU007","Korean","Male"
"7","CU008","Korean","Male"
"8","CU009","Korean","Male"
"9","CU010","Korean","Male"
"10","CU011","Korean","Male"
"11","CU012","Korean","Male"
"12","CU013","Korean","NA"
"13","CU014","Korean","Male"
"14","CU015","Korean","Male"
"15","CU016","Korean","Female"
"16","CU018","Korean","Female"
"17","CU020","Korean","Male"
"18","CU021","Korean","Male"
"19","CU023","Korean","Female"
"20","CU024","Korean","Female"
"21","CU025","Korean","Female"
"22","CU026","Korean","Male"
"23","CU027","Korean","Male"
"24","CU028","Korean","Female"
"25","CU029","Korean","Male"
"26","CU031","Korean","NA"
"27","CU032","Korean","Male"
"28","CU033","Korean","Female"
"29","CU034","Korean","Male"
"30","CU035","Korean","Male"
"31","CU036","Korean","Male"
"32","CU037","Korean","Female"
"33","CU038","Korean","NA"
"34","CU039","Korean","Male"
"35","CU040","Korean","Female"
"36","CU041","Korean","NA"
"37","CU042","Korean","Male"
"38","CU043","Korean","Male"
"39","CU044","Korean","Male"
"40","CU045","Korean","Male"
"41","CU046","Korean","Male"
"42","CU047","Korean","Male"
"43","CU048","Korean","Male"
"44","CU049","Korean","Male"
"45","CU050","Korean","Male"
"46","CU051","Korean","Male"
"47","CU052","Korean","Male"
"48","CU053","Korean","Female"
"49","CU054","Korean","Female"
"50","CU055","Korean","NA"
"51","CU056","Korean","Female"
"52","CU057","Korean","Male"
"53","CU058","Korean","Male"
"54","CU059","Korean","Male"
"55","CU060","Korean","Male"
"56","CU061","Korean","Male"
"57","CU062","Korean","Male"
"58","CU063","Korean","Female"
"59","CU065","Korean","Male"
"60","CU066","Korean","Female"
"61","CU067","Korean","Male"
"62","CU069","Korean","Male"
"63","CU070","Korean","Male"
"64","CU071","Korean","Male"
"65","CU072","Korean","Male"
"66","CU073","Korean","Male"
"67","CU074","Korean","Female"
"68","CU075","Korean","Male"
"69","CU076","Korean","Female"
"70","CU077","Korean","Male"
"71","CU078","Korean","Male"
"72","CU079","Korean","Male"
"73","CU080","Korean","Male"
"74","CU081","Korean","Female"
"75","CU082","Korean","Male"
"76","CU083","Korean","Female"
"77","CU084","Korean","Female"
"78","CU085","Korean","Female"
"79","CU086","Korean","Male"
"80","CU087","Korean","Male"
"81","CU088","Korean","Male"
"82","CU089","Korean","Male"
"83","CU090","Korean","Male"
"84","CU091","Korean","Male"
"85","CU092","Korean","Male"
"86","CU093","Korean","Female"
"87","CU094","Korean","Male"
"88","CU095","Korean","Female"
"89","JU001","Japanese","Male"
"90","JU002","Japanese","Female"
"91","JU003","Japanese","Female"
