"Landmark","Abbreviation","Definition.and.Measurement"
"Alare (left and right)","alael; alarr","The most lateral points on the nasal aperture; instrumentally determined in the transverse plane (Bass, 1995; Buikstra and Ubelaker, 1994). "
"Alveolan (rubber band)","alv","The meeting point of the midsagittal plane and a line connecting the posterior borders of the alveolar crests; location determined with the use of a rubber band around the alveolar crest (Buikstra and Ubelaker, 1994). "
"Asterion (left and right)","astl; astr","The sutural meeting point whaere the temporal, parietal, and occipital bones meet; if the meeting point includes a wormian bone, the lambdoid suture was extended followed by the temporo-parietal and temporo- occipital sutures (Howells, 1973; Martin, 1957). "
"Basion","bas","The meeting point of the midsagittal plane and the anterior border of the foramen magnum; located on the anterior-inferior portion of the rim (Buikstra and Ubelaker, 1994; Martin, 1957). "
"Bregma","brg","The sutural meeting point of the coronal and sagittal sutures (Martin, 1957). "
"Cheek height inferior point","wmhi","The point of the inferior maxilla for the minimum cheek height, medial of the masseter attachment; instrumentally determined with sliding calipers, one caliper point on the inferior orbital rim and the other on the inferior maxilla where the minimum distance is located (Howells, 1973). "
"Cheek height superior point","wmhs","The point on the inferior orbital rim for the minimum cheek height; instrumentally determined with sliding calipers, one caliper point on the inferior orbital rim and the other on the superior maxilla where the minimum distance is located (Howells, 1973). "
"Dacryon (left and right)","dacl; dacr","The meeting point of the lacrimal, frontal, and maxilla bones in the orbit at the apex of the lacrimal fossa (Buikstra and Ubelaker, 1994; Martin, 1957). "
"Ectoconchion (left and right)","ectl; ectr","The intersection point of the anterior surface of the lateral orbital border and a line bisecting the long axis of the orbit; location determined by using a toothpick or similar object that is held parallel to the superior orbital border and moved down until it bisects the orbit in half, where the toothpick crosses the lateral border is where ectoconchion is located (Buikstra and Ubelaker, 1994; Howells, 1973). "
"Eurion (left and right)","eurl; eurr","The lateral-most point (left and right) of the cranial vault comprising the greatest cranial breadth, located on the parietals or temporal bones superior to the zygomatic arch and external auditory meatus; instrumentally determined using spreading calipers to find the widest measurment of the cranial vault (Bass, 1995; Buikstra and Ubelaker, 1994). "
"Foramen magnum breadth points (left and right)","fobl; fobr","The lateral-most point (left and right sides) of the foramen magnum rim (Lahr, 1992)."
