ID,Period,Population,Sex
JU001,MPJ,J,JM
JU002,MPJ,J,JF
JU003,MPJ,J,JF
JU004,MPJ,J,JF
JU005,MPJ,J,JM
JU006,MPJ,J,JF
JU007,MPJ,J,JM
JU008,MPJ,J,JM
JU009,MPJ,J,JF
JU010,MPJ,J,JM
JU011,MPJ,J,JM
JU012,MPJ,J,JM
JU013,MPJ,J,JM
JU014,MPJ,J,JF
JU015,MPJ,J,JM
JU016,MPJ,J,JM
JU017,MPJ,J,JF
JU018,MPJ,J,JF
JU019,MPJ,J,JF
JU020,MPJ,J,JM
JU021,MPJ,J,JF
JU022,MPJ,J,JF
JU023,MPJ,J,JM
JU024,MPJ,J,JF
JU025,MPJ,J,JM
JU026,MPJ,J,JF
JU027,MPJ,J,JM
JU028,MPJ,J,JF
JU029,MPJ,J,JM
JU030,MPJ,J,JM
JU031,MPJ,J,JM
JU032,MPJ,J,JM
JU033,MPJ,J,JF
JU034,MPJ,J,JM
JU035,MPJ,J,JM
JU036,MPJ,J,JM
JU037,MPJ,J,JF
JU038,MPJ,J,JM
JU039,MPJ,J,JF
JU040,MPJ,J,JM
JU041,MPJ,J,JM
JU042,MPJ,J,JF
JU043,MPJ,J,JF
JU044,MPJ,J,JM
JU045,MPJ,J,JM
JU046,MPJ,J,JM
JU047,MPJ,J,JM
JU048,MPJ,J,JF
JU049,MPJ,J,JM
JU050,MPJ,J,JM
JU051,MPJ,J,JF
JU052,MPJ,J,JF
JU053,MPJ,J,JM
JU054,MPJ,J,JF
JU055,MPJ,J,JM
JU056,MPJ,J,JM
JU057,MPJ,J,JM
JU058,MPJ,J,JF
JU059,MPJ,J,JF
JU060,MPJ,J,JM
JU061,MPJ,J,JF
JU062,MPJ,J,JF
JU063,MPJ,J,JM
JU064,MPJ,J,JM
JU065,MPJ,J,JM
JU066,MPJ,J,JM
JU067,MPJ,J,JM
JU068,MPJ,J,JM
JU069,MPJ,J,JF
JU070,MPJ,J,JM
JU071,MPJ,J,JF
JU072,MPJ,J,JM
JU073,MPJ,J,JM
JU074,MPJ,J,JM
JU075,MPJ,J,JF
JU076,MPJ,J,JF
JU077,MPJ,J,JM
JU078,MPJ,J,JM
JU079,MPJ,J,JM
JU080,MPJ,J,JF
JU081,MPJ,J,JM
JU082,MPJ,J,JM
JU083,MPJ,J,JF
JU084,MPJ,J,JF
JU085,MPJ,J,JM
JU086,MPJ,J,JF
JU087,MPJ,J,JF
JU088,MPJ,J,JF
JU089,MPJ,J,JM
JU090,MPJ,J,JM
JU091,MPJ,J,JM
JU092,MPJ,J,JM
JU093,MPJ,J,JF
JU094,MPJ,J,JM
JU095,MPJ,J,JF
JU096,MPJ,J,JM
JU097,MPJ,J,JF
JU098,MPJ,J,JM
JU099,MPJ,J,JF
JU100,MPJ,J,JM
JU101,MPJ,J,JF
JU102,MPJ,J,JF
JU103,MPJ,J,JF
JU104,MPJ,J,JM
JU105,MPJ,J,JF
JU106,MPJ,J,JF
JU107,MPJ,J,JF
JU108,MPJ,J,JM
JU109,MPJ,J,JM
JU110,MPJ,J,JF
JU111,MPJ,J,JM 
JU112,MPJ,J,JF
JU113,MPJ,J,JF
JU114,MPJ,J,JM
JU115,MPJ,J,JF
JU116,MPJ,J,JM
JU117,MPJ,J,JF
JU118,MPJ,J,JM
JU119,MPJ,J,JM
JU120,MPJ,J,JF
JU121,MPJ,J,JM
JU122,MPJ,J,JF
JU123,MPJ,J,JM
JU124,MPJ,J,JF
JU125,MPJ,J,JF
JU126,MPJ,J,JM
JU127,MPJ,J,JF
JU128,MPJ,J,JM
JU129,MPJ,J,JF
JU130,MPJ,J,JM
JU131,MPJ,J,JM
JU132,MPJ,J,JF
JU133,MPJ,J,JF
JU134,MPJ,J,JM
JU135,MPJ,J,JF
JU136,MPJ,J,JM
JU137,MPJ,J,JF
JU138,MPJ,J,JM
JU139,MPJ,J,JM
